comparison_a,comparison_b,control_type,correct,design,dimension,entropy,expected_label,expected_label_index,is_artificial_norm,is_borderline,logscore_mature,logscore_old,logscore_young,logscore_youthful,margin,ordered_label_score,pair_id,pred_label,pred_label_index,predicate_family,prob_mature,prob_old,prob_young,prob_youthful,prompt,scale_type,side,source,standard_type,target,type,unit,value
a domestic mouse,a domestic dog,standard_explicit,0,same_scalar_different_explicit_standard_balanced_orientation_paraphrase_sweep,age,1.361187197470595,old,3.0,False,False,-9.731343269348145,-9.598031044006348,-9.256074905395508,-9.821502685546875,-0.34195613861083984,1.3594481961389062,age-v1_3a-p0003-a_domestic_mouse-vs-a_domestic_dog,young,0.0,young_old,0.2143697173579081,0.24494027391729073,0.3448020690535833,0.19588793967121787,"For a domestic mouse, a typical lifespan is 2 years. Relative to that 2-year reference, an individual aged 3 years is best described as",relative_open_age,a,bierwisch_kennedy_age_v1_3_a,comparison_class_explicit,3 years,gradable_scalar,years,3
a domestic mouse,a domestic dog,standard_explicit,0,same_scalar_different_explicit_standard_balanced_orientation_paraphrase_sweep,age,1.2665893002777975,youthful,1.0,False,False,-11.733708381652832,-11.779991149902344,-13.166129112243652,-12.377742767333984,-0.6440343856811523,1.9823965118989113,age-v1_3a-p0003-a_domestic_mouse-vs-a_domestic_dog,mature,2.0,young_old,0.3678266889220636,0.35119060314059414,0.08781138330434032,0.19317132463300193,"For a domestic dog, a typical lifespan is 12 years. Relative to that 12-year reference, an individual aged 3 years is best described as",relative_open_age,b,bierwisch_kennedy_age_v1_3_a,comparison_class_explicit,3 years,gradable_scalar,years,3
a horse,a domestic mouse,standard_explicit,1,same_scalar_different_explicit_standard_balanced_orientation_paraphrase_sweep,age,1.287431066187938,young,0.0,False,False,-10.126781463623047,-10.208152770996094,-9.137895584106445,-9.413078308105469,0.27518272399902344,1.0233724626857594,age-v1_3a-p0003-a_horse-vs-a_domestic_mouse,young,0.0,young_old,0.15033916827956254,0.13859036338583208,0.40414743236546724,0.30692303596913817,"For a horse, a typical lifespan is 28 years. Relative to that 28-year reference, an individual aged 3 years is best described as",relative_open_age,a,bierwisch_kennedy_age_v1_3_a,comparison_class_explicit,3 years,gradable_scalar,years,3
a horse,a domestic mouse,standard_explicit,0,same_scalar_different_explicit_standard_balanced_orientation_paraphrase_sweep,age,1.361187197470595,old,3.0,False,False,-9.731343269348145,-9.598031044006348,-9.256074905395508,-9.821502685546875,-0.34195613861083984,1.3594481961389062,age-v1_3a-p0003-a_horse-vs-a_domestic_mouse,young,0.0,young_old,0.2143697173579081,0.24494027391729073,0.3448020690535833,0.19588793967121787,"For a domestic mouse, a typical lifespan is 2 years. Relative to that 2-year reference, an individual aged 3 years is best described as",relative_open_age,b,bierwisch_kennedy_age_v1_3_a,comparison_class_explicit,3 years,gradable_scalar,years,3
a human,a domestic mouse,standard_explicit,0,same_scalar_different_explicit_standard_balanced_orientation_paraphrase_sweep,age,0.8796268628014173,young,0.0,False,False,-10.052834510803223,-8.203422546386719,-10.64731502532959,-10.224955558776855,-2.443892478942871,2.504068843810784,age-v1_3a-p0003-a_human-vs-a_domestic_mouse,old,3.0,young_old,0.11428823188854234,0.7264252388607921,0.0630698657993425,0.09621666345132301,"For a human, a typical lifespan is 80 years. Relative to that 80-year reference, an individual aged 3 years is best described as",relative_open_age,a,bierwisch_kennedy_age_v1_3_a,comparison_class_explicit,3 years,gradable_scalar,years,3
a human,a domestic mouse,standard_explicit,0,same_scalar_different_explicit_standard_balanced_orientation_paraphrase_sweep,age,1.361187197470595,old,3.0,False,False,-9.731343269348145,-9.598031044006348,-9.256074905395508,-9.821502685546875,-0.34195613861083984,1.3594481961389062,age-v1_3a-p0003-a_human-vs-a_domestic_mouse,young,0.0,young_old,0.2143697173579081,0.24494027391729073,0.3448020690535833,0.19588793967121787,"For a domestic mouse, a typical lifespan is 2 years. Relative to that 2-year reference, an individual aged 3 years is best described as",relative_open_age,b,bierwisch_kennedy_age_v1_3_a,comparison_class_explicit,3 years,gradable_scalar,years,3
a domestic mouse,a galapagos tortoise,standard_explicit,0,same_scalar_different_explicit_standard_balanced_orientation_paraphrase_sweep,age,1.361187197470595,old,3.0,False,False,-9.731343269348145,-9.598031044006348,-9.256074905395508,-9.821502685546875,-0.34195613861083984,1.3594481961389062,age-v1_3a-p0003-a_domestic_mouse-vs-a_galapagos_tortoise,young,0.0,young_old,0.2143697173579081,0.24494027391729073,0.3448020690535833,0.19588793967121787,"For a domestic mouse, a typical lifespan is 2 years. Relative to that 2-year reference, an individual aged 3 years is best described as",relative_open_age,a,bierwisch_kennedy_age_v1_3_a,comparison_class_explicit,3 years,gradable_scalar,years,3
a domestic mouse,a galapagos tortoise,standard_explicit,0,same_scalar_different_explicit_standard_balanced_orientation_paraphrase_sweep,age,1.1812287994493627,young,0.0,False,False,-9.448052406311035,-8.965595245361328,-10.408833503723145,-10.629484176635742,-1.4432382583618164,2.1655917986412985,age-v1_3a-p0003-a_domestic_mouse-vs-a_galapagos_tortoise,old,3.0,young_old,0.3021619749734024,0.48951757999650947,0.11560533632512318,0.09271510870496484,"For a galapagos tortoise, a typical lifespan is 150 years. Relative to that 150-year reference, an individual aged 3 years is best described as",relative_open_age,b,bierwisch_kennedy_age_v1_3_a,comparison_class_explicit,3 years,gradable_scalar,years,3
a domestic mouse,a bowhead whale,standard_explicit,0,same_scalar_different_explicit_standard_balanced_orientation_paraphrase_sweep,age,1.361187197470595,old,3.0,False,False,-9.731343269348145,-9.598031044006348,-9.256074905395508,-9.821502685546875,-0.34195613861083984,1.3594481961389062,age-v1_3a-p0003-a_domestic_mouse-vs-a_bowhead_whale,young,0.0,young_old,0.2143697173579081,0.24494027391729073,0.3448020690535833,0.19588793967121787,"For a domestic mouse, a typical lifespan is 2 years. Relative to that 2-year reference, an individual aged 3 years is best described as",relative_open_age,a,bierwisch_kennedy_age_v1_3_a,comparison_class_explicit,3 years,gradable_scalar,years,3
a domestic mouse,a bowhead whale,standard_explicit,0,same_scalar_different_explicit_standard_balanced_orientation_paraphrase_sweep,age,1.3139302158030997,young,0.0,False,False,-9.657112121582031,-9.733793258666992,-10.526238441467285,-10.436004638671875,-0.8691263198852539,1.8675787746709882,age-v1_3a-p0003-a_domestic_mouse-vs-a_bowhead_whale,mature,2.0,young_old,0.3565803718802434,0.3302594390190512,0.14952047524735765,0.16363971385334777,"For a bowhead whale, a typical lifespan is 200 years. Relative to that 200-year reference, an individual aged 3 years is best described as",relative_open_age,b,bierwisch_kennedy_age_v1_3_a,comparison_class_explicit,3 years,gradable_scalar,years,3
a domestic dog,a horse,standard_explicit,0,same_scalar_different_explicit_standard_balanced_orientation_paraphrase_sweep,age,1.2665893002777975,youthful,1.0,False,False,-11.733708381652832,-11.779991149902344,-13.166129112243652,-12.377742767333984,-0.6440343856811523,1.9823965118989113,age-v1_3a-p0003-a_domestic_dog-vs-a_horse,mature,2.0,young_old,0.3678266889220636,0.35119060314059414,0.08781138330434032,0.19317132463300193,"For a domestic dog, a typical lifespan is 12 years. Relative to that 12-year reference, an individual aged 3 years is best described as",relative_open_age,a,bierwisch_kennedy_age_v1_3_a,comparison_class_explicit,3 years,gradable_scalar,years,3
a domestic dog,a horse,standard_explicit,1,same_scalar_different_explicit_standard_balanced_orientation_paraphrase_sweep,age,1.287431066187938,young,0.0,False,False,-10.126781463623047,-10.208152770996094,-9.137895584106445,-9.413078308105469,0.27518272399902344,1.0233724626857594,age-v1_3a-p0003-a_domestic_dog-vs-a_horse,young,0.0,young_old,0.15033916827956254,0.13859036338583208,0.40414743236546724,0.30692303596913817,"For a horse, a typical lifespan is 28 years. Relative to that 28-year reference, an individual aged 3 years is best described as",relative_open_age,b,bierwisch_kennedy_age_v1_3_a,comparison_class_explicit,3 years,gradable_scalar,years,3
a domestic dog,a human,standard_explicit,0,same_scalar_different_explicit_standard_balanced_orientation_paraphrase_sweep,age,1.2665893002777975,youthful,1.0,False,False,-11.733708381652832,-11.779991149902344,-13.166129112243652,-12.377742767333984,-0.6440343856811523,1.9823965118989113,age-v1_3a-p0003-a_domestic_dog-vs-a_human,mature,2.0,young_old,0.3678266889220636,0.35119060314059414,0.08781138330434032,0.19317132463300193,"For a domestic dog, a typical lifespan is 12 years. Relative to that 12-year reference, an individual aged 3 years is best described as",relative_open_age,a,bierwisch_kennedy_age_v1_3_a,comparison_class_explicit,3 years,gradable_scalar,years,3
a domestic dog,a human,standard_explicit,0,same_scalar_different_explicit_standard_balanced_orientation_paraphrase_sweep,age,0.8796268628014173,young,0.0,False,False,-10.052834510803223,-8.203422546386719,-10.64731502532959,-10.224955558776855,-2.443892478942871,2.504068843810784,age-v1_3a-p0003-a_domestic_dog-vs-a_human,old,3.0,young_old,0.11428823188854234,0.7264252388607921,0.0630698657993425,0.09621666345132301,"For a human, a typical lifespan is 80 years. Relative to that 80-year reference, an individual aged 3 years is best described as",relative_open_age,b,bierwisch_kennedy_age_v1_3_a,comparison_class_explicit,3 years,gradable_scalar,years,3
a galapagos tortoise,a domestic dog,standard_explicit,0,same_scalar_different_explicit_standard_balanced_orientation_paraphrase_sweep,age,1.1812287994493627,young,0.0,False,False,-9.448052406311035,-8.965595245361328,-10.408833503723145,-10.629484176635742,-1.4432382583618164,2.1655917986412985,age-v1_3a-p0003-a_galapagos_tortoise-vs-a_domestic_dog,old,3.0,young_old,0.3021619749734024,0.48951757999650947,0.11560533632512318,0.09271510870496484,"For a galapagos tortoise, a typical lifespan is 150 years. Relative to that 150-year reference, an individual aged 3 years is best described as",relative_open_age,a,bierwisch_kennedy_age_v1_3_a,comparison_class_explicit,3 years,gradable_scalar,years,3
a galapagos tortoise,a domestic dog,standard_explicit,0,same_scalar_different_explicit_standard_balanced_orientation_paraphrase_sweep,age,1.2665893002777975,youthful,1.0,False,False,-11.733708381652832,-11.779991149902344,-13.166129112243652,-12.377742767333984,-0.6440343856811523,1.9823965118989113,age-v1_3a-p0003-a_galapagos_tortoise-vs-a_domestic_dog,mature,2.0,young_old,0.3678266889220636,0.35119060314059414,0.08781138330434032,0.19317132463300193,"For a domestic dog, a typical lifespan is 12 years. Relative to that 12-year reference, an individual aged 3 years is best described as",relative_open_age,b,bierwisch_kennedy_age_v1_3_a,comparison_class_explicit,3 years,gradable_scalar,years,3
a bowhead whale,a domestic dog,standard_explicit,0,same_scalar_different_explicit_standard_balanced_orientation_paraphrase_sweep,age,1.3139302158030997,young,0.0,False,False,-9.657112121582031,-9.733793258666992,-10.526238441467285,-10.436004638671875,-0.8691263198852539,1.8675787746709882,age-v1_3a-p0003-a_bowhead_whale-vs-a_domestic_dog,mature,2.0,young_old,0.3565803718802434,0.3302594390190512,0.14952047524735765,0.16363971385334777,"For a bowhead whale, a typical lifespan is 200 years. Relative to that 200-year reference, an individual aged 3 years is best described as",relative_open_age,a,bierwisch_kennedy_age_v1_3_a,comparison_class_explicit,3 years,gradable_scalar,years,3
a bowhead whale,a domestic dog,standard_explicit,0,same_scalar_different_explicit_standard_balanced_orientation_paraphrase_sweep,age,1.2665893002777975,youthful,1.0,False,False,-11.733708381652832,-11.779991149902344,-13.166129112243652,-12.377742767333984,-0.6440343856811523,1.9823965118989113,age-v1_3a-p0003-a_bowhead_whale-vs-a_domestic_dog,mature,2.0,young_old,0.3678266889220636,0.35119060314059414,0.08781138330434032,0.19317132463300193,"For a domestic dog, a typical lifespan is 12 years. Relative to that 12-year reference, an individual aged 3 years is best described as",relative_open_age,b,bierwisch_kennedy_age_v1_3_a,comparison_class_explicit,3 years,gradable_scalar,years,3
a domestic mouse,a horse,standard_explicit,0,same_scalar_different_explicit_standard_balanced_orientation_paraphrase_sweep,age,1.2636347451303018,old,3.0,False,False,-10.208867073059082,-10.023361206054688,-9.011808395385742,-9.816637992858887,-1.0115528106689453,1.0139093872660063,age-v1_3a-p0006-a_domestic_mouse-vs-a_horse,young,0.0,young_old,0.1429700938532182,0.17211129671902287,0.47328330002525754,0.21163530940250128,"For a domestic mouse, a typical lifespan is 2 years. Relative to that 2-year reference, an individual aged 6 years is best described as",relative_open_age,a,bierwisch_kennedy_age_v1_3_a,comparison_class_explicit,6 years,gradable_scalar,years,6
a domestic mouse,a horse,standard_explicit,0,same_scalar_different_explicit_standard_balanced_orientation_paraphrase_sweep,age,1.255819201496295,youthful,1.0,False,False,-10.153831481933594,-10.152619361877441,-8.94735336303711,-9.34704303741455,-0.3996896743774414,0.9552628324075725,age-v1_3a-p0006-a_domestic_mouse-vs-a_horse,young,0.0,young_old,0.13186335594133258,0.13202328706802238,0.4406470976698049,0.29546625932084014,"For a horse, a typical lifespan is 28 years. Relative to that 28-year reference, an individual aged 6 years is best described as",relative_open_age,b,bierwisch_kennedy_age_v1_3_a,comparison_class_explicit,6 years,gradable_scalar,years,6
a human,a domestic mouse,standard_explicit,0,same_scalar_different_explicit_standard_balanced_orientation_paraphrase_sweep,age,1.0822127472345593,young,0.0,False,False,-9.923783302307129,-7.866097927093506,-9.243585586547852,-9.197875022888184,-1.3774876594543457,2.140860083440759,age-v1_3a-p0006-a_human-vs-a_domestic_mouse,old,3.0,young_old,0.07770789270212652,0.6082841997828438,0.1534162088270552,0.16059169868797443,"For a human, a typical lifespan is 80 years. Relative to that 80-year reference, an individual aged 6 years is best described as",relative_open_age,a,bierwisch_kennedy_age_v1_3_a,comparison_class_explicit,6 years,gradable_scalar,years,6
a human,a domestic mouse,standard_explicit,0,same_scalar_different_explicit_standard_balanced_orientation_paraphrase_sweep,age,1.2636347451303018,old,3.0,False,False,-10.208867073059082,-10.023361206054688,-9.011808395385742,-9.816637992858887,-1.0115528106689453,1.0139093872660063,age-v1_3a-p0006-a_human-vs-a_domestic_mouse,young,0.0,young_old,0.1429700938532182,0.17211129671902287,0.47328330002525754,0.21163530940250128,"For a domestic mouse, a typical lifespan is 2 years. Relative to that 2-year reference, an individual aged 6 years is best described as",relative_open_age,b,bierwisch_kennedy_age_v1_3_a,comparison_class_explicit,6 years,gradable_scalar,years,6
a galapagos tortoise,a domestic mouse,standard_explicit,0,same_scalar_different_explicit_standard_balanced_orientation_paraphrase_sweep,age,1.248733130985691,young,0.0,False,False,-9.537130355834961,-9.087141990661621,-10.161323547363281,-10.489505767822266,-1.0741815567016602,2.031830831747509,age-v1_3a-p0006-a_galapagos_tortoise-vs-a_domestic_mouse,old,3.0,young_old,0.2865484824449642,0.44939224812082673,0.1535021469391084,0.11055712249510077,"For a galapagos tortoise, a typical lifespan is 150 years. Relative to that 150-year reference, an individual aged 6 years is best described as",relative_open_age,a,bierwisch_kennedy_age_v1_3_a,comparison_class_explicit,6 years,gradable_scalar,years,6
a galapagos tortoise,a domestic mouse,standard_explicit,0,same_scalar_different_explicit_standard_balanced_orientation_paraphrase_sweep,age,1.2636347451303018,old,3.0,False,False,-10.208867073059082,-10.023361206054688,-9.011808395385742,-9.816637992858887,-1.0115528106689453,1.0139093872660063,age-v1_3a-p0006-a_galapagos_tortoise-vs-a_domestic_mouse,young,0.0,young_old,0.1429700938532182,0.17211129671902287,0.47328330002525754,0.21163530940250128,"For a domestic mouse, a typical lifespan is 2 years. Relative to that 2-year reference, an individual aged 6 years is best described as",relative_open_age,b,bierwisch_kennedy_age_v1_3_a,comparison_class_explicit,6 years,gradable_scalar,years,6
a bowhead whale,a domestic mouse,standard_explicit,0,same_scalar_different_explicit_standard_balanced_orientation_paraphrase_sweep,age,1.3369778080816406,young,0.0,False,False,-9.494851112365723,-9.550238609313965,-10.136476516723633,-10.191929817199707,-0.6416254043579102,1.7964070370551735,age-v1_3a-p0006-a_bowhead_whale-vs-a_domestic_mouse,mature,2.0,young_old,0.3366331673073267,0.3184948534664672,0.17721583718508777,0.16765614204111845,"For a bowhead whale, a typical lifespan is 200 years. Relative to that 200-year reference, an individual aged 6 years is best described as",relative_open_age,a,bierwisch_kennedy_age_v1_3_a,comparison_class_explicit,6 years,gradable_scalar,years,6
a bowhead whale,a domestic mouse,standard_explicit,0,same_scalar_different_explicit_standard_balanced_orientation_paraphrase_sweep,age,1.2636347451303018,old,3.0,False,False,-10.208867073059082,-10.023361206054688,-9.011808395385742,-9.816637992858887,-1.0115528106689453,1.0139093872660063,age-v1_3a-p0006-a_bowhead_whale-vs-a_domestic_mouse,young,0.0,young_old,0.1429700938532182,0.17211129671902287,0.47328330002525754,0.21163530940250128,"For a domestic mouse, a typical lifespan is 2 years. Relative to that 2-year reference, an individual aged 6 years is best described as",relative_open_age,b,bierwisch_kennedy_age_v1_3_a,comparison_class_explicit,6 years,gradable_scalar,years,6
a horse,a human,standard_explicit,0,same_scalar_different_explicit_standard_balanced_orientation_paraphrase_sweep,age,1.255819201496295,youthful,1.0,False,False,-10.153831481933594,-10.152619361877441,-8.94735336303711,-9.34704303741455,-0.3996896743774414,0.9552628324075725,age-v1_3a-p0006-a_horse-vs-a_human,young,0.0,young_old,0.13186335594133258,0.13202328706802238,0.4406470976698049,0.29546625932084014,"For a horse, a typical lifespan is 28 years. Relative to that 28-year reference, an individual aged 6 years is best described as",relative_open_age,a,bierwisch_kennedy_age_v1_3_a,comparison_class_explicit,6 years,gradable_scalar,years,6
a horse,a human,standard_explicit,0,same_scalar_different_explicit_standard_balanced_orientation_paraphrase_sweep,age,1.0822127472345593,young,0.0,False,False,-9.923783302307129,-7.866097927093506,-9.243585586547852,-9.197875022888184,-1.3774876594543457,2.140860083440759,age-v1_3a-p0006-a_horse-vs-a_human,old,3.0,young_old,0.07770789270212652,0.6082841997828438,0.1534162088270552,0.16059169868797443,"For a human, a typical lifespan is 80 years. Relative to that 80-year reference, an individual aged 6 years is best described as",relative_open_age,b,bierwisch_kennedy_age_v1_3_a,comparison_class_explicit,6 years,gradable_scalar,years,6
a horse,a galapagos tortoise,standard_explicit,0,same_scalar_different_explicit_standard_balanced_orientation_paraphrase_sweep,age,1.255819201496295,youthful,1.0,False,False,-10.153831481933594,-10.152619361877441,-8.94735336303711,-9.34704303741455,-0.3996896743774414,0.9552628324075725,age-v1_3a-p0006-a_horse-vs-a_galapagos_tortoise,young,0.0,young_old,0.13186335594133258,0.13202328706802238,0.4406470976698049,0.29546625932084014,"For a horse, a typical lifespan is 28 years. Relative to that 28-year reference, an individual aged 6 years is best described as",relative_open_age,a,bierwisch_kennedy_age_v1_3_a,comparison_class_explicit,6 years,gradable_scalar,years,6
a horse,a galapagos tortoise,standard_explicit,0,same_scalar_different_explicit_standard_balanced_orientation_paraphrase_sweep,age,1.248733130985691,young,0.0,False,False,-9.537130355834961,-9.087141990661621,-10.161323547363281,-10.489505767822266,-1.0741815567016602,2.031830831747509,age-v1_3a-p0006-a_horse-vs-a_galapagos_tortoise,old,3.0,young_old,0.2865484824449642,0.44939224812082673,0.1535021469391084,0.11055712249510077,"For a galapagos tortoise, a typical lifespan is 150 years. Relative to that 150-year reference, an individual aged 6 years is best described as",relative_open_age,b,bierwisch_kennedy_age_v1_3_a,comparison_class_explicit,6 years,gradable_scalar,years,6
a horse,a bowhead whale,standard_explicit,0,same_scalar_different_explicit_standard_balanced_orientation_paraphrase_sweep,age,1.255819201496295,youthful,1.0,False,False,-10.153831481933594,-10.152619361877441,-8.94735336303711,-9.34704303741455,-0.3996896743774414,0.9552628324075725,age-v1_3a-p0006-a_horse-vs-a_bowhead_whale,young,0.0,young_old,0.13186335594133258,0.13202328706802238,0.4406470976698049,0.29546625932084014,"For a horse, a typical lifespan is 28 years. Relative to that 28-year reference, an individual aged 6 years is best described as",relative_open_age,a,bierwisch_kennedy_age_v1_3_a,comparison_class_explicit,6 years,gradable_scalar,years,6
a horse,a bowhead whale,standard_explicit,0,same_scalar_different_explicit_standard_balanced_orientation_paraphrase_sweep,age,1.3369778080816406,young,0.0,False,False,-9.494851112365723,-9.550238609313965,-10.136476516723633,-10.191929817199707,-0.6416254043579102,1.7964070370551735,age-v1_3a-p0006-a_horse-vs-a_bowhead_whale,mature,2.0,young_old,0.3366331673073267,0.3184948534664672,0.17721583718508777,0.16765614204111845,"For a bowhead whale, a typical lifespan is 200 years. Relative to that 200-year reference, an individual aged 6 years is best described as",relative_open_age,b,bierwisch_kennedy_age_v1_3_a,comparison_class_explicit,6 years,gradable_scalar,years,6
a domestic mouse,a domestic dog,standard_explicit,0,same_scalar_different_explicit_standard_balanced_orientation_paraphrase_sweep,age,1.3358826010329765,old,3.0,False,False,-9.729576110839844,-9.446843147277832,-9.004124641418457,-9.754642486572266,-0.442718505859375,1.295815742709876,age-v1_3a-p0010-a_domestic_mouse-vs-a_domestic_dog,young,0.0,young_old,0.18630093894390362,0.24717492419890338,0.38483504463183416,0.18168909222535876,"For a domestic mouse, a typical lifespan is 2 years. Relative to that 2-year reference, an individual aged 10 years is best described as",relative_open_age,a,bierwisch_kennedy_age_v1_3_a,comparison_class_explicit,10 years,gradable_scalar,years,10
a domestic mouse,a domestic dog,standard_explicit,1,same_scalar_different_explicit_standard_balanced_orientation_paraphrase_sweep,age,1.1869232261373934,mature,2.0,False,False,-11.072213172912598,-11.421575546264648,-13.061917304992676,-12.141180992126465,0.3493623733520508,2.040408933434112,age-v1_3a-p0010-a_domestic_mouse-vs-a_domestic_dog,mature,2.0,young_old,0.4576164387724446,0.3226825394662101,0.06257258427075324,0.15712843749059185,"For a domestic dog, a typical lifespan is 12 years. Relative to that 12-year reference, an individual aged 10 years is best described as",relative_open_age,b,bierwisch_kennedy_age_v1_3_a,comparison_class_explicit,10 years,gradable_scalar,years,10
a domestic mouse,a horse,standard_explicit,0,same_scalar_different_explicit_standard_balanced_orientation_paraphrase_sweep,age,1.3358826010329765,old,3.0,False,False,-9.729576110839844,-9.446843147277832,-9.004124641418457,-9.754642486572266,-0.442718505859375,1.295815742709876,age-v1_3a-p0010-a_domestic_mouse-vs-a_horse,young,0.0,young_old,0.18630093894390362,0.24717492419890338,0.38483504463183416,0.18168909222535876,"For a domestic mouse, a typical lifespan is 2 years. Relative to that 2-year reference, an individual aged 10 years is best described as",relative_open_age,a,bierwisch_kennedy_age_v1_3_a,comparison_class_explicit,10 years,gradable_scalar,years,10
