layer,ordered_score,pair_id,pc1,pc2,pc3,rho,row_idx,side,standard,value,variant
20,1.8897945219722854,size-v2-fictional_semantic-p0090-Type_C_dax_rods-vs-Type_A_dax_rods,-1040.8965671356632,319.21936889530906,-404.9561471544487,0.6711682738411701,0,a,46.0,90.0,fictional_semantic_adjective_counts
20,1.2872310951976291,size-v2-fictional_semantic-p0025-Type_A_dax_rods-vs-Type_F_dax_rods,-836.3385320632282,-580.9461133370287,175.1116727010639,-2.639057329615259,1,b,350.0,25.0,fictional_semantic_adjective_counts
20,1.822909633000809,size-v2-fictional_semantic-p0200-Type_C_dax_rods-vs-Type_E_dax_rods,-677.0427714528905,210.27077869934615,-388.14646929896605,1.4696759700589417,2,a,46.0,200.0,fictional_semantic_adjective_counts
20,1.2972289972233104,size-v2-fictional_semantic-p0015-Type_A_dax_rods-vs-Type_F_dax_rods,-743.1823630557448,-631.2025440042172,185.57240797800975,-3.1498829533812494,3,b,350.0,15.0,fictional_semantic_adjective_counts
20,1.7992809608725169,size-v2-fictional_semantic-p0060-Type_A_dax_rods-vs-Type_C_dax_rods,-1136.886630920702,365.9082490550287,186.5926895402867,4.0943445622221,4,a,1.0,60.0,fictional_semantic_adjective_counts
20,1.7074967646333077,size-v2-fictional_semantic-p0500-Type_F_dax_rods-vs-Type_A_dax_rods,-543.1102922926563,359.40607836501664,275.0665282960728,6.214608098422191,5,b,1.0,500.0,fictional_semantic_adjective_counts
20,1.5561391650535916,size-v2-fictional_semantic-p0025-Type_A_dax_rods-vs-Type_E_dax_rods,-553.9817650164345,-372.97097942666915,286.74308714786855,-1.916922612182061,6,b,170.0,25.0,fictional_semantic_adjective_counts
20,1.75883856528425,size-v2-fictional_semantic-p0090-Type_B_dax_rods-vs-Type_C_dax_rods,-1349.9708762604398,459.26538628013117,-18.64828467513444,2.302585092994046,7,a,9.0,90.0,fictional_semantic_adjective_counts
20,1.3215851428309673,size-v2-fictional_semantic-p0008-Type_A_dax_rods-vs-Type_D_dax_rods,-1119.8368700385256,-308.17019662057146,-489.8744870134001,-2.0149030205422647,8,b,60.0,8.0,fictional_semantic_adjective_counts
20,1.316686060548989,size-v2-fictional_semantic-p0003-Type_E_dax_rods-vs-Type_A_dax_rods,-685.7199342957745,-507.75070880744,234.33715667782732,-4.037186148382152,9,a,170.0,3.0,fictional_semantic_adjective_counts
20,1.3795626891314416,size-v2-fictional_semantic-p0040-Type_A_dax_rods-vs-Type_E_dax_rods,-469.43009009123784,-535.310465103158,327.4573420542289,-1.4469189829363254,10,b,170.0,40.0,fictional_semantic_adjective_counts
20,1.1198111825433381,size-v2-fictional_semantic-p0015-Type_D_dax_rods-vs-Type_A_dax_rods,-991.1808830183992,-464.4324427086092,-483.34630573238525,-1.3862943611198906,11,a,60.0,15.0,fictional_semantic_adjective_counts
20,1.8795383967978825,size-v2-fictional_semantic-p0060-Type_A_dax_rods-vs-Type_C_dax_rods,-1135.3325875739624,270.7212517730452,-454.3560905637491,0.2657031657330057,12,b,46.0,60.0,fictional_semantic_adjective_counts
20,1.913308869497141,size-v2-fictional_semantic-p0090-Type_D_dax_rods-vs-Type_A_dax_rods,-1139.132036927291,302.53705855118744,-441.3232635478286,0.4054651081081644,13,a,60.0,90.0,fictional_semantic_adjective_counts
20,1.12468392491237,size-v2-fictional_semantic-p0003-Type_C_dax_rods-vs-Type_A_dax_rods,-906.239465462056,-367.8182117812507,-454.387893861957,-2.7300291078209855,14,a,46.0,3.0,fictional_semantic_adjective_counts
20,1.1071190383708887,size-v2-fictional_semantic-p0025-Type_A_dax_rods-vs-Type_C_dax_rods,-947.328828254931,-282.2963076596207,-446.4992605904407,-0.6097655716208943,15,b,46.0,25.0,fictional_semantic_adjective_counts
20,1.34601864090367,size-v2-fictional_semantic-p0008-Type_A_dax_rods-vs-Type_E_dax_rods,-364.17441059184165,-615.4126698432426,351.638759930557,-3.056356895370426,16,b,170.0,8.0,fictional_semantic_adjective_counts
20,1.9405096614737147,size-v2-fictional_semantic-p0130-Type_E_dax_rods-vs-Type_D_dax_rods,-982.5999024147111,336.5385786008334,-408.2520120456626,0.7731898882334817,17,b,60.0,130.0,fictional_semantic_adjective_counts
20,1.6074600548235887,size-v2-fictional_semantic-p0320-Type_C_dax_rods-vs-Type_E_dax_rods,-676.6660655121632,211.26348015930046,-343.3400052565884,1.9396795993046771,18,a,46.0,320.0,fictional_semantic_adjective_counts
20,1.8652927086502509,size-v2-fictional_semantic-p0500-Type_F_dax_rods-vs-Type_E_dax_rods,-443.28613353897936,146.60525456092935,342.01660605571425,1.07880966137193,19,b,170.0,500.0,fictional_semantic_adjective_counts
20,1.6826028321413893,size-v2-fictional_semantic-p0130-Type_A_dax_rods-vs-Type_E_dax_rods,-1156.5591168757396,396.5598158175261,140.52216505522986,4.867534450455582,20,a,1.0,130.0,fictional_semantic_adjective_counts
20,1.842901999297732,size-v2-fictional_semantic-p0003-Type_B_dax_rods-vs-Type_A_dax_rods,-1170.0419449453568,346.5966329248479,201.79686858779627,1.0986122886681098,21,b,1.0,3.0,fictional_semantic_adjective_counts
20,1.6809083522711208,size-v2-fictional_semantic-p0090-Type_C_dax_rods-vs-Type_A_dax_rods,-733.0372372054462,286.2327055833185,275.34910049275624,4.499809670330265,22,b,1.0,90.0,fictional_semantic_adjective_counts
20,1.9429337581861692,size-v2-fictional_semantic-p0130-Type_E_dax_rods-vs-Type_C_dax_rods,-972.3653664198462,326.49586641038337,-379.57017305044167,1.0388930539664876,23,b,46.0,130.0,fictional_semantic_adjective_counts
20,1.6180102196176769,size-v2-fictional_semantic-p0060-Type_C_dax_rods-vs-Type_B_dax_rods,-922.4938946605598,296.3414563153676,139.07252375223007,1.8971199848858813,24,b,9.0,60.0,fictional_semantic_adjective_counts
20,1.1757450121365696,size-v2-fictional_semantic-p0200-Type_F_dax_rods-vs-Type_A_dax_rods,-929.5088090105394,-452.7726344179492,185.04909642471702,-0.5596157879354228,25,a,350.0,200.0,fictional_semantic_adjective_counts
20,1.78593320782127,size-v2-fictional_semantic-p0025-Type_A_dax_rods-vs-Type_C_dax_rods,-1477.8608379262193,452.36112273569756,180.1522641164739,3.2188758248682006,26,a,1.0,25.0,fictional_semantic_adjective_counts
20,1.3818330864970645,size-v2-fictional_semantic-p0060-Type_A_dax_rods-vs-Type_F_dax_rods,-943.9093298416897,-518.3797126873599,205.38929548763548,-1.7635885922613588,27,b,350.0,60.0,fictional_semantic_adjective_counts
20,1.7658938916744336,size-v2-fictional_semantic-p0500-Type_D_dax_rods-vs-Type_F_dax_rods,-938.3356865757993,278.82657294712595,-385.7512727062822,2.120263536200091,28,a,60.0,500.0,fictional_semantic_adjective_counts
20,1.8857660564123706,size-v2-fictional_semantic-p0200-Type_D_dax_rods-vs-Type_E_dax_rods,-952.1940057296842,257.99725962524155,-422.4185223222143,1.2039728043259361,29,a,60.0,200.0,fictional_semantic_adjective_counts
20,1.9209469176730485,size-v2-fictional_semantic-p0200-Type_E_dax_rods-vs-Type_A_dax_rods,-771.6293859187123,214.08592095359566,303.6025298965268,0.16251892949777494,30,a,170.0,200.0,fictional_semantic_adjective_counts
20,1.1629056387747596,size-v2-fictional_semantic-p0015-Type_C_dax_rods-vs-Type_A_dax_rods,-879.4100874849469,-398.68424551357384,-430.0092730275038,-1.120591195386885,31,a,46.0,15.0,fictional_semantic_adjective_counts
20,1.6591106063658276,size-v2-fictional_semantic-p0040-Type_B_dax_rods-vs-Type_D_dax_rods,-1007.7344854263066,270.88625914852196,190.80516337248082,1.491654876777717,32,a,9.0,40.0,fictional_semantic_adjective_counts
20,1.2622562985013563,size-v2-fictional_semantic-p0015-Type_E_dax_rods-vs-Type_A_dax_rods,-616.9182300458043,-492.56969777150766,253.64693979485403,-2.4277482359480516,33,a,170.0,15.0,fictional_semantic_adjective_counts
20,1.1900145025407067,size-v2-fictional_semantic-p0003-Type_A_dax_rods-vs-Type_D_dax_rods,-1012.2822447722671,-382.4365633254106,-490.7515552390017,-2.995732273553991,34,b,60.0,3.0,fictional_semantic_adjective_counts
20,1.1200047953500025,size-v2-fictional_semantic-p0003-Type_B_dax_rods-vs-Type_A_dax_rods,-1083.8922560852284,-307.6658676252849,46.09698693885528,-1.0986122886681098,35,a,9.0,3.0,fictional_semantic_adjective_counts
20,1.2253929787100128,size-v2-fictional_semantic-p0090-Type_A_dax_rods-vs-Type_E_dax_rods,-509.53834188567777,-546.948729908224,308.3247095918014,-0.6359887667199967,36,b,170.0,90.0,fictional_semantic_adjective_counts
20,1.9341266694358161,size-v2-fictional_semantic-p0500-Type_C_dax_rods-vs-Type_F_dax_rods,-749.1910442314436,358.20131943850714,-327.10319441100074,2.385966701933097,37,a,46.0,500.0,fictional_semantic_adjective_counts
20,1.8063908215155586,size-v2-fictional_semantic-p0025-Type_C_dax_rods-vs-Type_B_dax_rods,-1343.0723700420758,404.0109896145551,130.56073579364104,1.0216512475319812,38,b,9.0,25.0,fictional_semantic_adjective_counts
20,1.6909655737153495,size-v2-fictional_semantic-p0320-Type_A_dax_rods-vs-Type_E_dax_rods,-613.3288877287864,369.82927438684885,348.20771449836406,5.768320995793772,39,a,1.0,320.0,fictional_semantic_adjective_counts
20,1.7766699808164046,size-v2-fictional_semantic-p0040-Type_A_dax_rods-vs-Type_D_dax_rods,-1173.5122304255692,376.4764606364859,218.1300345536373,3.6888794541139363,40,a,1.0,40.0,fictional_semantic_adjective_counts
20,1.987025423288848,size-v2-fictional_semantic-p0320-Type_E_dax_rods-vs-Type_D_dax_rods,-619.9484029082051,375.81292918328995,-290.6031357032507,1.6739764335716716,41,b,60.0,320.0,fictional_semantic_adjective_counts
20,1.2924280840343514,size-v2-fictional_semantic-p0130-Type_A_dax_rods-vs-Type_F_dax_rods,-889.9767869788622,-454.1130106476447,228.33871101598388,-0.9903987040278769,42,b,350.0,130.0,fictional_semantic_adjective_counts
20,1.623105106652913,size-v2-fictional_semantic-p0200-Type_E_dax_rods-vs-Type_B_dax_rods,-730.5330240358261,358.2406268164917,195.08035686654907,3.101092789211817,43,b,9.0,200.0,fictional_semantic_adjective_counts
20,1.8559920054529837,size-v2-fictional_semantic-p0015-Type_B_dax_rods-vs-Type_A_dax_rods,-1270.8345905646925,370.3312970720084,114.24398755122643,0.5108256237659907,44,a,9.0,15.0,fictional_semantic_adjective_counts
20,1.0755815513788043,size-v2-fictional_semantic-p0040-Type_A_dax_rods-vs-Type_D_dax_rods,-1352.3855852602264,-260.6094030541278,-508.1134469269541,-0.40546510810816444,45,b,60.0,40.0,fictional_semantic_adjective_counts
20,1.2390624779794825,size-v2-fictional_semantic-p0008-Type_A_dax_rods-vs-Type_C_dax_rods,-780.125953751212,-427.30302160491743,-439.56188956082974,-1.749199854809259,46,b,46.0,8.0,fictional_semantic_adjective_counts
20,1.6035960254933719,size-v2-fictional_semantic-p0500-Type_F_dax_rods-vs-Type_B_dax_rods,-425.35703762627577,292.67017953666254,214.96723246469904,4.017383521085972,47,b,9.0,500.0,fictional_semantic_adjective_counts
20,1.6969019729086618,size-v2-fictional_semantic-p0130-Type_E_dax_rods-vs-Type_B_dax_rods,-881.8567452879631,407.22926150404965,190.08971238621342,2.670309873119363,48,b,9.0,130.0,fictional_semantic_adjective_counts
20,1.5785446559542962,size-v2-fictional_semantic-p0320-Type_E_dax_rods-vs-Type_B_dax_rods,-779.0684626903553,303.07235569756045,191.01507134880245,3.571096418457553,49,b,9.0,320.0,fictional_semantic_adjective_counts
20,1.3725886399637484,size-v2-fictional_semantic-p0008-Type_F_dax_rods-vs-Type_A_dax_rods,-622.373000062324,-530.0886459989354,265.5042328070284,-3.7784916128036232,50,a,350.0,8.0,fictional_semantic_adjective_counts
20,1.7311946196589223,size-v2-fictional_semantic-p0200-Type_E_dax_rods-vs-Type_A_dax_rods,-855.2545476868665,400.16686351106824,241.3190184095569,5.298317366548036,51,b,1.0,200.0,fictional_semantic_adjective_counts
20,1.0968905782087406,size-v2-fictional_semantic-p0025-Type_A_dax_rods-vs-Type_D_dax_rods,-1126.304365681203,-342.3089399933884,-490.2279703745728,-0.8754687373538999,52,b,60.0,25.0,fictional_semantic_adjective_counts
20,1.8461430055085908,size-v2-fictional_semantic-p0015-Type_B_dax_rods-vs-Type_A_dax_rods,-1609.8095532096627,431.0427706148538,41.85659283630427,2.70805020110221,53,b,1.0,15.0,fictional_semantic_adjective_counts
20,1.9522939324320099,size-v2-fictional_semantic-p0320-Type_A_dax_rods-vs-Type_E_dax_rods,-442.35877027113105,252.29855652312017,346.08581595238206,0.6325225587435105,54,b,170.0,320.0,fictional_semantic_adjective_counts
20,1.5192320371473298,size-v2-fictional_semantic-p0040-Type_A_dax_rods-vs-Type_F_dax_rods,-778.8526852152519,-413.4972308467187,220.23837214869755,-2.169053700369523,55,b,350.0,40.0,fictional_semantic_adjective_counts
20,1.4080205562556982,size-v2-fictional_semantic-p0003-Type_F_dax_rods-vs-Type_A_dax_rods,-1117.7238375283446,-406.2693095948265,83.16820840253723,-4.75932086581535,56,a,350.0,3.0,fictional_semantic_adjective_counts
20,1.2646946146366025,size-v2-fictional_semantic-p0130-Type_A_dax_rods-vs-Type_E_dax_rods,-843.2694904801763,-282.6784275679387,239.12528310171476,-0.2682639865946794,57,b,170.0,130.0,fictional_semantic_adjective_counts
20,1.2845839256973626,size-v2-fictional_semantic-p0060-Type_A_dax_rods-vs-Type_E_dax_rods,-465.7902102194653,-541.0694047087187,304.98716071948076,-1.041453874828161,58,b,170.0,60.0,fictional_semantic_adjective_counts
20,1.917696596689917,size-v2-fictional_semantic-p0500-Type_F_dax_rods-vs-Type_A_dax_rods,-808.4083635150166,217.9045861223866,282.0055235188157,0.3566749439387324,59,a,350.0,500.0,fictional_semantic_adjective_counts
20,1.7414021687336683,size-v2-fictional_semantic-p0008-Type_A_dax_rods-vs-Type_C_dax_rods,-1133.4365861638125,307.59099901238244,235.30921291528756,2.0794415416798357,60,a,1.0,8.0,fictional_semantic_adjective_counts
20,1.369587188533503,size-v2-fictional_semantic-p0090-Type_F_dax_rods-vs-Type_A_dax_rods,-956.4214762955597,-443.3134660623136,200.6522864390418,-1.3581234841531944,61,a,350.0,90.0,fictional_semantic_adjective_counts
20,1.564741494336853,size-v2-iso_ratio-p0180-Scale_class_60_objects-vs-Scale_class_120_objects,2197.9558289609968,234.8366126857009,-103.3383293390619,1.0986122886681098,62,a,60.0,180.0,iso_ratio_adjective_counts
20,1.2661571368237845,size-v2-iso_ratio-p0120-Scale_class_240_objects-vs-Scale_class_30_objects,2402.6198889901493,-352.9990761729502,-113.22061362211127,-0.6931471805599453,63,a,240.0,120.0,iso_ratio_adjective_counts
20,1.6245522537382873,size-v2-iso_ratio-p0360-Scale_class_240_objects-vs-Scale_class_60_objects,2407.831736095607,258.36182958135095,-64.23450593580488,1.791759469228055,64,b,60.0,360.0,iso_ratio_adjective_counts
20,1.3988998367721335,size-v2-iso_ratio-p0045-Scale_class_30_objects-vs-Scale_class_240_objects,2697.1518371584043,-133.0360362682495,-64.10004857116525,-1.6739764335716716,65,b,240.0,45.0,iso_ratio_adjective_counts
20,1.3127436561995984,size-v2-iso_ratio-p0180-Scale_class_240_objects-vs-Scale_class_30_objects,2617.2896457378674,-281.30300028818846,-83.0671882339613,-0.2876820724517809,66,a,240.0,180.0,iso_ratio_adjective_counts
20,1.5733908965027263,size-v2-iso_ratio-p0120-Scale_class_240_objects-vs-Scale_class_60_objects,2326.0548953711977,248.94871705756316,-81.41084414858308,0.6931471805599453,67,b,60.0,120.0,iso_ratio_adjective_counts
20,1.1694878619160765,size-v2-iso_ratio-p0060-Scale_class_120_objects-vs-Scale_class_30_objects,1991.7184189577497,-359.02123791515004,-101.93367998898344,-0.6931471805599453,68,a,120.0,60.0,iso_ratio_adjective_counts
20,1.516697316704627,size-v2-iso_ratio-p0180-Scale_class_30_objects-vs-Scale_class_120_objects,2758.879705051799,90.90165533278432,32.53514439322298,0.4054651081081644,69,b,120.0,180.0,iso_ratio_adjective_counts
20,1.1503897770775509,size-v2-iso_ratio-p0045-Scale_class_60_objects-vs-Scale_class_30_objects,2356.429135138426,-120.96521926784727,-171.32985502107002,-0.2876820724517809,70,a,60.0,45.0,iso_ratio_adjective_counts
20,1.7223791601584935,size-v2-iso_ratio-p0360-Scale_class_240_objects-vs-Scale_class_120_objects,2651.6056618494945,223.20693324546474,99.67869225478547,1.0986122886681098,71,b,120.0,360.0,iso_ratio_adjective_counts
20,1.260793807928984,size-v2-iso_ratio-p0045-Scale_class_30_objects-vs-Scale_class_120_objects,2220.961327031592,-216.5701059328676,-94.70938213694885,-0.9808292530117262,72,b,120.0,45.0,iso_ratio_adjective_counts
20,1.2581363244531165,size-v2-iso_ratio-p0060-Scale_class_240_objects-vs-Scale_class_30_objects,2529.6050891970813,-318.48845059597295,-61.70640042431918,-1.3862943611198906,73,a,240.0,60.0,iso_ratio_adjective_counts
20,1.4391258512405938,size-v2-iso_ratio-p0180-Scale_class_30_objects-vs-Scale_class_120_objects,2596.9993514133425,204.52109135284772,18.938377023030228,1.791759469228055,74,a,30.0,180.0,iso_ratio_adjective_counts
20,1.3409138081377272,size-v2-iso_ratio-p0090-Scale_class_30_objects-vs-Scale_class_240_objects,2816.889074280807,-271.0702246868936,-23.22679195924382,-0.9808292530117262,75,b,240.0,90.0,iso_ratio_adjective_counts
20,1.5950423549569919,size-v2-iso_ratio-p0360-Scale_class_240_objects-vs-Scale_class_30_objects,2841.0005051414305,320.05186215855286,53.20668098682999,2.4849066497880004,76,b,30.0,360.0,iso_ratio_adjective_counts
20,1.7492951533918049,size-v2-iso_ratio-p0360-Scale_class_240_objects-vs-Scale_class_30_objects,2553.9596395311723,177.1674635263403,31.876834121088322,0.4054651081081644,77,a,240.0,360.0,iso_ratio_adjective_counts
20,1.5297244789057967,size-v2-iso_ratio-p0090-Scale_class_60_objects-vs-Scale_class_30_objects,2529.4964206493096,255.20509261159995,47.96498089813137,1.0986122886681098,78,b,30.0,90.0,iso_ratio_adjective_counts
20,1.4356069447348225,size-v2-iso_ratio-p0060-Scale_class_120_objects-vs-Scale_class_30_objects,2585.1330202506124,191.492092578345,34.24262697968534,0.6931471805599453,79,b,30.0,60.0,iso_ratio_adjective_counts
20,1.4880887896397976,size-v2-iso_ratio-p0045-Scale_class_60_objects-vs-Scale_class_30_objects,2671.4639364672917,205.38041978047576,62.60268990310598,0.4054651081081644,80,b,30.0,45.0,iso_ratio_adjective_counts
20,1.1864643274448154,size-v2-iso_ratio-p0090-Scale_class_120_objects-vs-Scale_class_30_objects,2544.2647638737762,-268.95279605883985,15.010803134489475,-0.2876820724517809,81,a,120.0,90.0,iso_ratio_adjective_counts
20,1.4898095200374872,size-v2-iso_ratio-p0120-Scale_class_240_objects-vs-Scale_class_30_objects,2575.356421547708,243.154612672771,47.17843579143519,1.3862943611198906,82,b,30.0,120.0,iso_ratio_adjective_counts
20,1.5200448877646562,size-v2-iso_ratio-p0090-Scale_class_60_objects-vs-Scale_class_30_objects,2316.5759718917116,203.19914815179533,-68.94613066494594,0.4054651081081644,83,a,60.0,90.0,iso_ratio_adjective_counts
