a_expected_label,a_prompt,b_expected_label,b_prompt,comparison_a,comparison_b,context_type,control_type,design,dimension,has_semantic_scaffold,is_artificial_norm,is_borderline,is_counter_natural,log_ratio_a,log_ratio_b,pair_flipped,pair_id,pair_orientation_base_key,predicate_family,ratio_a,ratio_b,ratio_bucket_a,ratio_bucket_b,regime,scale_type,source,standard_a,standard_b,standard_type,target,type,unit,value
tiny,"In this fictional setting, ignore real-world sizes. The normal body length for labrador dogs in this fictional setting is 170 centimeters. Compared only to that 170-centimeter fictional baseline for labrador dogs in this fictional setting, a body length of 25 centimeters feels",small,"In this fictional setting, ignore real-world sizes. The normal body length for adult humans in this fictional setting is 30 centimeters. Compared only to that 30-centimeter fictional baseline for adult humans in this fictional setting, a body length of 25 centimeters feels",labrador dogs in this fictional setting,adult humans in this fictional setting,counter_natural_explicit_norm,standard_explicit,size_v2_behavioral_lockin_same_value_different_standard,size,True,False,False,True,-1.916922612182061,-0.1823215567939546,True,size-v2-counter_natural-p0025-labrador_dogs_in_this_fictional_setting-vs-adult_humans_in_this_fictional_setting,size-v2-counter_natural-p0025-adult_humans_in_this_fictional_setting-vs-labrador_dogs_in_this_fictional_setting,tiny_huge,0.14705882352941177,0.8333333333333334,0.147059,0.833333,counter_natural,relative_open_size,bierwisch_kennedy_size_v2_counter_natural,170,30,comparison_class_explicit,25 centimeters,gradable_scalar,centimeters,25
small,"In this fictional setting, ignore real-world sizes. The normal body length for adult humans in this fictional setting is 30 centimeters. Compared only to that 30-centimeter fictional baseline for adult humans in this fictional setting, a body length of 25 centimeters feels",tiny,"In this fictional setting, ignore real-world sizes. The normal body length for house mice in this fictional setting is 350 centimeters. Compared only to that 350-centimeter fictional baseline for house mice in this fictional setting, a body length of 25 centimeters feels",adult humans in this fictional setting,house mice in this fictional setting,counter_natural_explicit_norm,standard_explicit,size_v2_behavioral_lockin_same_value_different_standard,size,True,False,False,True,-0.1823215567939546,-2.639057329615259,False,size-v2-counter_natural-p0025-adult_humans_in_this_fictional_setting-vs-house_mice_in_this_fictional_setting,size-v2-counter_natural-p0025-adult_humans_in_this_fictional_setting-vs-house_mice_in_this_fictional_setting,tiny_huge,0.8333333333333334,0.07142857142857142,0.833333,0.0714286,counter_natural,relative_open_size,bierwisch_kennedy_size_v2_counter_natural,30,350,comparison_class_explicit,25 centimeters,gradable_scalar,centimeters,25
small,"In this fictional setting, ignore real-world sizes. The normal body length for adult humans in this fictional setting is 30 centimeters. Compared only to that 30-centimeter fictional baseline for adult humans in this fictional setting, a body length of 25 centimeters feels",tiny,"In this fictional setting, ignore real-world sizes. The normal body length for african elephants in this fictional setting is 60 centimeters. Compared only to that 60-centimeter fictional baseline for african elephants in this fictional setting, a body length of 25 centimeters feels",adult humans in this fictional setting,african elephants in this fictional setting,counter_natural_explicit_norm,standard_explicit,size_v2_behavioral_lockin_same_value_different_standard,size,True,False,False,True,-0.1823215567939546,-0.8754687373538999,False,size-v2-counter_natural-p0025-adult_humans_in_this_fictional_setting-vs-african_elephants_in_this_fictional_setting,size-v2-counter_natural-p0025-adult_humans_in_this_fictional_setting-vs-african_elephants_in_this_fictional_setting,tiny_huge,0.8333333333333334,0.4166666666666667,0.833333,0.416667,counter_natural,relative_open_size,bierwisch_kennedy_size_v2_counter_natural,30,60,comparison_class_explicit,25 centimeters,gradable_scalar,centimeters,25
tiny,"In this fictional setting, ignore real-world sizes. The normal body length for labrador dogs in this fictional setting is 170 centimeters. Compared only to that 170-centimeter fictional baseline for labrador dogs in this fictional setting, a body length of 40 centimeters feels",large,"In this fictional setting, ignore real-world sizes. The normal body length for adult humans in this fictional setting is 30 centimeters. Compared only to that 30-centimeter fictional baseline for adult humans in this fictional setting, a body length of 40 centimeters feels",labrador dogs in this fictional setting,adult humans in this fictional setting,counter_natural_explicit_norm,standard_explicit,size_v2_behavioral_lockin_same_value_different_standard,size,True,False,False,True,-1.4469189829363254,0.28768207245178085,True,size-v2-counter_natural-p0040-labrador_dogs_in_this_fictional_setting-vs-adult_humans_in_this_fictional_setting,size-v2-counter_natural-p0040-adult_humans_in_this_fictional_setting-vs-labrador_dogs_in_this_fictional_setting,tiny_huge,0.23529411764705882,1.3333333333333333,0.235294,1.33333,counter_natural,relative_open_size,bierwisch_kennedy_size_v2_counter_natural,170,30,comparison_class_explicit,40 centimeters,gradable_scalar,centimeters,40
large,"In this fictional setting, ignore real-world sizes. The normal body length for adult humans in this fictional setting is 30 centimeters. Compared only to that 30-centimeter fictional baseline for adult humans in this fictional setting, a body length of 40 centimeters feels",tiny,"In this fictional setting, ignore real-world sizes. The normal body length for house mice in this fictional setting is 350 centimeters. Compared only to that 350-centimeter fictional baseline for house mice in this fictional setting, a body length of 40 centimeters feels",adult humans in this fictional setting,house mice in this fictional setting,counter_natural_explicit_norm,standard_explicit,size_v2_behavioral_lockin_same_value_different_standard,size,True,False,False,True,0.28768207245178085,-2.169053700369523,False,size-v2-counter_natural-p0040-adult_humans_in_this_fictional_setting-vs-house_mice_in_this_fictional_setting,size-v2-counter_natural-p0040-adult_humans_in_this_fictional_setting-vs-house_mice_in_this_fictional_setting,tiny_huge,1.3333333333333333,0.11428571428571428,1.33333,0.114286,counter_natural,relative_open_size,bierwisch_kennedy_size_v2_counter_natural,30,350,comparison_class_explicit,40 centimeters,gradable_scalar,centimeters,40
large,"In this fictional setting, ignore real-world sizes. The normal body length for adult humans in this fictional setting is 30 centimeters. Compared only to that 30-centimeter fictional baseline for adult humans in this fictional setting, a body length of 40 centimeters feels",small,"In this fictional setting, ignore real-world sizes. The normal body length for african elephants in this fictional setting is 60 centimeters. Compared only to that 60-centimeter fictional baseline for african elephants in this fictional setting, a body length of 40 centimeters feels",adult humans in this fictional setting,african elephants in this fictional setting,counter_natural_explicit_norm,standard_explicit,size_v2_behavioral_lockin_same_value_different_standard,size,True,False,False,True,0.28768207245178085,-0.40546510810816444,False,size-v2-counter_natural-p0040-adult_humans_in_this_fictional_setting-vs-african_elephants_in_this_fictional_setting,size-v2-counter_natural-p0040-adult_humans_in_this_fictional_setting-vs-african_elephants_in_this_fictional_setting,tiny_huge,1.3333333333333333,0.6666666666666666,1.33333,0.666667,counter_natural,relative_open_size,bierwisch_kennedy_size_v2_counter_natural,30,60,comparison_class_explicit,40 centimeters,gradable_scalar,centimeters,40
tiny,"In this fictional setting, ignore real-world sizes. The normal body length for labrador dogs in this fictional setting is 170 centimeters. Compared only to that 170-centimeter fictional baseline for labrador dogs in this fictional setting, a body length of 40 centimeters feels",small,"In this fictional setting, ignore real-world sizes. The normal body length for african elephants in this fictional setting is 60 centimeters. Compared only to that 60-centimeter fictional baseline for african elephants in this fictional setting, a body length of 40 centimeters feels",labrador dogs in this fictional setting,african elephants in this fictional setting,counter_natural_explicit_norm,standard_explicit,size_v2_behavioral_lockin_same_value_different_standard,size,True,False,False,True,-1.4469189829363254,-0.40546510810816444,False,size-v2-counter_natural-p0040-labrador_dogs_in_this_fictional_setting-vs-african_elephants_in_this_fictional_setting,size-v2-counter_natural-p0040-labrador_dogs_in_this_fictional_setting-vs-african_elephants_in_this_fictional_setting,tiny_huge,0.23529411764705882,0.6666666666666666,0.235294,0.666667,counter_natural,relative_open_size,bierwisch_kennedy_size_v2_counter_natural,170,60,comparison_class_explicit,40 centimeters,gradable_scalar,centimeters,40
small,"In this fictional setting, ignore real-world sizes. The normal body length for african elephants in this fictional setting is 60 centimeters. Compared only to that 60-centimeter fictional baseline for african elephants in this fictional setting, a body length of 40 centimeters feels",tiny,"In this fictional setting, ignore real-world sizes. The normal body length for house mice in this fictional setting is 350 centimeters. Compared only to that 350-centimeter fictional baseline for house mice in this fictional setting, a body length of 40 centimeters feels",african elephants in this fictional setting,house mice in this fictional setting,counter_natural_explicit_norm,standard_explicit,size_v2_behavioral_lockin_same_value_different_standard,size,True,False,False,True,-0.40546510810816444,-2.169053700369523,True,size-v2-counter_natural-p0040-african_elephants_in_this_fictional_setting-vs-house_mice_in_this_fictional_setting,size-v2-counter_natural-p0040-house_mice_in_this_fictional_setting-vs-african_elephants_in_this_fictional_setting,tiny_huge,0.6666666666666666,0.11428571428571428,0.666667,0.114286,counter_natural,relative_open_size,bierwisch_kennedy_size_v2_counter_natural,60,350,comparison_class_explicit,40 centimeters,gradable_scalar,centimeters,40
tiny,"In this fictional setting, ignore real-world sizes. The normal body length for labrador dogs in this fictional setting is 170 centimeters. Compared only to that 170-centimeter fictional baseline for labrador dogs in this fictional setting, a body length of 60 centimeters feels",huge,"In this fictional setting, ignore real-world sizes. The normal body length for adult humans in this fictional setting is 30 centimeters. Compared only to that 30-centimeter fictional baseline for adult humans in this fictional setting, a body length of 60 centimeters feels",labrador dogs in this fictional setting,adult humans in this fictional setting,counter_natural_explicit_norm,standard_explicit,size_v2_behavioral_lockin_same_value_different_standard,size,True,False,False,True,-1.041453874828161,0.6931471805599453,True,size-v2-counter_natural-p0060-labrador_dogs_in_this_fictional_setting-vs-adult_humans_in_this_fictional_setting,size-v2-counter_natural-p0060-adult_humans_in_this_fictional_setting-vs-labrador_dogs_in_this_fictional_setting,tiny_huge,0.35294117647058826,2.0,0.352941,2,counter_natural,relative_open_size,bierwisch_kennedy_size_v2_counter_natural,170,30,comparison_class_explicit,60 centimeters,gradable_scalar,centimeters,60
tiny,"In this fictional setting, ignore real-world sizes. The normal body length for house mice in this fictional setting is 350 centimeters. Compared only to that 350-centimeter fictional baseline for house mice in this fictional setting, a body length of 60 centimeters feels",huge,"In this fictional setting, ignore real-world sizes. The normal body length for adult humans in this fictional setting is 30 centimeters. Compared only to that 30-centimeter fictional baseline for adult humans in this fictional setting, a body length of 60 centimeters feels",house mice in this fictional setting,adult humans in this fictional setting,counter_natural_explicit_norm,standard_explicit,size_v2_behavioral_lockin_same_value_different_standard,size,True,False,False,True,-1.7635885922613588,0.6931471805599453,True,size-v2-counter_natural-p0060-house_mice_in_this_fictional_setting-vs-adult_humans_in_this_fictional_setting,size-v2-counter_natural-p0060-adult_humans_in_this_fictional_setting-vs-house_mice_in_this_fictional_setting,tiny_huge,0.17142857142857143,2.0,0.171429,2,counter_natural,relative_open_size,bierwisch_kennedy_size_v2_counter_natural,350,30,comparison_class_explicit,60 centimeters,gradable_scalar,centimeters,60
small,"In this fictional setting, ignore real-world sizes. The normal body length for labrador dogs in this fictional setting is 170 centimeters. Compared only to that 170-centimeter fictional baseline for labrador dogs in this fictional setting, a body length of 90 centimeters feels",huge,"In this fictional setting, ignore real-world sizes. The normal body length for adult humans in this fictional setting is 30 centimeters. Compared only to that 30-centimeter fictional baseline for adult humans in this fictional setting, a body length of 90 centimeters feels",labrador dogs in this fictional setting,adult humans in this fictional setting,counter_natural_explicit_norm,standard_explicit,size_v2_behavioral_lockin_same_value_different_standard,size,True,False,False,True,-0.6359887667199967,1.0986122886681098,True,size-v2-counter_natural-p0090-labrador_dogs_in_this_fictional_setting-vs-adult_humans_in_this_fictional_setting,size-v2-counter_natural-p0090-adult_humans_in_this_fictional_setting-vs-labrador_dogs_in_this_fictional_setting,tiny_huge,0.5294117647058824,3.0,0.529412,3,counter_natural,relative_open_size,bierwisch_kennedy_size_v2_counter_natural,170,30,comparison_class_explicit,90 centimeters,gradable_scalar,centimeters,90
huge,"In this fictional setting, ignore real-world sizes. The normal body length for adult humans in this fictional setting is 30 centimeters. Compared only to that 30-centimeter fictional baseline for adult humans in this fictional setting, a body length of 90 centimeters feels",tiny,"In this fictional setting, ignore real-world sizes. The normal body length for house mice in this fictional setting is 350 centimeters. Compared only to that 350-centimeter fictional baseline for house mice in this fictional setting, a body length of 90 centimeters feels",adult humans in this fictional setting,house mice in this fictional setting,counter_natural_explicit_norm,standard_explicit,size_v2_behavioral_lockin_same_value_different_standard,size,True,False,False,True,1.0986122886681098,-1.3581234841531944,False,size-v2-counter_natural-p0090-adult_humans_in_this_fictional_setting-vs-house_mice_in_this_fictional_setting,size-v2-counter_natural-p0090-adult_humans_in_this_fictional_setting-vs-house_mice_in_this_fictional_setting,tiny_huge,3.0,0.2571428571428571,3,0.257143,counter_natural,relative_open_size,bierwisch_kennedy_size_v2_counter_natural,30,350,comparison_class_explicit,90 centimeters,gradable_scalar,centimeters,90
large,"In this fictional setting, ignore real-world sizes. The normal body length for african elephants in this fictional setting is 60 centimeters. Compared only to that 60-centimeter fictional baseline for african elephants in this fictional setting, a body length of 90 centimeters feels",huge,"In this fictional setting, ignore real-world sizes. The normal body length for adult humans in this fictional setting is 30 centimeters. Compared only to that 30-centimeter fictional baseline for adult humans in this fictional setting, a body length of 90 centimeters feels",african elephants in this fictional setting,adult humans in this fictional setting,counter_natural_explicit_norm,standard_explicit,size_v2_behavioral_lockin_same_value_different_standard,size,True,False,False,True,0.4054651081081644,1.0986122886681098,True,size-v2-counter_natural-p0090-african_elephants_in_this_fictional_setting-vs-adult_humans_in_this_fictional_setting,size-v2-counter_natural-p0090-adult_humans_in_this_fictional_setting-vs-african_elephants_in_this_fictional_setting,tiny_huge,1.5,3.0,1.5,3,counter_natural,relative_open_size,bierwisch_kennedy_size_v2_counter_natural,60,30,comparison_class_explicit,90 centimeters,gradable_scalar,centimeters,90
small,"In this fictional setting, ignore real-world sizes. The normal body length for labrador dogs in this fictional setting is 170 centimeters. Compared only to that 170-centimeter fictional baseline for labrador dogs in this fictional setting, a body length of 90 centimeters feels",tiny,"In this fictional setting, ignore real-world sizes. The normal body length for house mice in this fictional setting is 350 centimeters. Compared only to that 350-centimeter fictional baseline for house mice in this fictional setting, a body length of 90 centimeters feels",labrador dogs in this fictional setting,house mice in this fictional setting,counter_natural_explicit_norm,standard_explicit,size_v2_behavioral_lockin_same_value_different_standard,size,True,False,False,True,-0.6359887667199967,-1.3581234841531944,False,size-v2-counter_natural-p0090-labrador_dogs_in_this_fictional_setting-vs-house_mice_in_this_fictional_setting,size-v2-counter_natural-p0090-labrador_dogs_in_this_fictional_setting-vs-house_mice_in_this_fictional_setting,tiny_huge,0.5294117647058824,0.2571428571428571,0.529412,0.257143,counter_natural,relative_open_size,bierwisch_kennedy_size_v2_counter_natural,170,350,comparison_class_explicit,90 centimeters,gradable_scalar,centimeters,90
small,"In this fictional setting, ignore real-world sizes. The normal body length for labrador dogs in this fictional setting is 170 centimeters. Compared only to that 170-centimeter fictional baseline for labrador dogs in this fictional setting, a body length of 90 centimeters feels",large,"In this fictional setting, ignore real-world sizes. The normal body length for african elephants in this fictional setting is 60 centimeters. Compared only to that 60-centimeter fictional baseline for african elephants in this fictional setting, a body length of 90 centimeters feels",labrador dogs in this fictional setting,african elephants in this fictional setting,counter_natural_explicit_norm,standard_explicit,size_v2_behavioral_lockin_same_value_different_standard,size,True,False,False,True,-0.6359887667199967,0.4054651081081644,False,size-v2-counter_natural-p0090-labrador_dogs_in_this_fictional_setting-vs-african_elephants_in_this_fictional_setting,size-v2-counter_natural-p0090-labrador_dogs_in_this_fictional_setting-vs-african_elephants_in_this_fictional_setting,tiny_huge,0.5294117647058824,1.5,0.529412,1.5,counter_natural,relative_open_size,bierwisch_kennedy_size_v2_counter_natural,170,60,comparison_class_explicit,90 centimeters,gradable_scalar,centimeters,90
