a_expected_label,a_prompt,b_expected_label,b_prompt,comparison_a,comparison_b,context_type,control_type,design,dimension,is_artificial_norm,is_borderline,log_ratio_a,log_ratio_b,pair_flipped,pair_id,pair_orientation_base_key,predicate_family,ratio_a,ratio_b,ratio_bucket_a,ratio_bucket_b,regime,scale_type,source,standard_a,standard_b,standard_type,target,type,unit,value
huge,"The normal body length for an ant is 1 centimeters. Compared only to that 1-centimeter baseline for an ant, a body length of 3 centimeters feels",tiny,"The normal body length for a house mouse is 9 centimeters. Compared only to that 9-centimeter baseline for a house mouse, a body length of 3 centimeters feels",an ant,a house mouse,natural_world_anchor,standard_explicit,size_v2_behavioral_lockin_same_value_different_standard,size,False,False,1.0986122886681098,-1.0986122886681098,False,size-v2-natural-p0003-an_ant-vs-a_house_mouse,size-v2-natural-p0003-an_ant-vs-a_house_mouse,tiny_huge,3.0,0.3333333333333333,3,0.333333,natural,relative_open_size,bierwisch_kennedy_size_v2_natural,1,9,comparison_class_explicit,3 centimeters,gradable_scalar,centimeters,3
tiny,"The normal body length for a domestic cat is 46 centimeters. Compared only to that 46-centimeter baseline for a domestic cat, a body length of 3 centimeters feels",huge,"The normal body length for an ant is 1 centimeters. Compared only to that 1-centimeter baseline for an ant, a body length of 3 centimeters feels",a domestic cat,an ant,natural_world_anchor,standard_explicit,size_v2_behavioral_lockin_same_value_different_standard,size,False,False,-2.7300291078209855,1.0986122886681098,True,size-v2-natural-p0003-a_domestic_cat-vs-an_ant,size-v2-natural-p0003-an_ant-vs-a_domestic_cat,tiny_huge,0.06521739130434782,3.0,0.0652174,3,natural,relative_open_size,bierwisch_kennedy_size_v2_natural,46,1,comparison_class_explicit,3 centimeters,gradable_scalar,centimeters,3
tiny,"The normal body length for a labrador dog is 60 centimeters. Compared only to that 60-centimeter baseline for a labrador dog, a body length of 3 centimeters feels",huge,"The normal body length for an ant is 1 centimeters. Compared only to that 1-centimeter baseline for an ant, a body length of 3 centimeters feels",a labrador dog,an ant,natural_world_anchor,standard_explicit,size_v2_behavioral_lockin_same_value_different_standard,size,False,False,-2.995732273553991,1.0986122886681098,True,size-v2-natural-p0003-a_labrador_dog-vs-an_ant,size-v2-natural-p0003-an_ant-vs-a_labrador_dog,tiny_huge,0.05,3.0,0.05,3,natural,relative_open_size,bierwisch_kennedy_size_v2_natural,60,1,comparison_class_explicit,3 centimeters,gradable_scalar,centimeters,3
tiny,"The normal body length for an adult human is 170 centimeters. Compared only to that 170-centimeter baseline for an adult human, a body length of 3 centimeters feels",huge,"The normal body length for an ant is 1 centimeters. Compared only to that 1-centimeter baseline for an ant, a body length of 3 centimeters feels",an adult human,an ant,natural_world_anchor,standard_explicit,size_v2_behavioral_lockin_same_value_different_standard,size,False,False,-4.037186148382152,1.0986122886681098,True,size-v2-natural-p0003-an_adult_human-vs-an_ant,size-v2-natural-p0003-an_ant-vs-an_adult_human,tiny_huge,0.01764705882352941,3.0,0.0176471,3,natural,relative_open_size,bierwisch_kennedy_size_v2_natural,170,1,comparison_class_explicit,3 centimeters,gradable_scalar,centimeters,3
tiny,"The normal body length for an african elephant is 350 centimeters. Compared only to that 350-centimeter baseline for an african elephant, a body length of 3 centimeters feels",huge,"The normal body length for an ant is 1 centimeters. Compared only to that 1-centimeter baseline for an ant, a body length of 3 centimeters feels",an african elephant,an ant,natural_world_anchor,standard_explicit,size_v2_behavioral_lockin_same_value_different_standard,size,False,False,-4.75932086581535,1.0986122886681098,True,size-v2-natural-p0003-an_african_elephant-vs-an_ant,size-v2-natural-p0003-an_ant-vs-an_african_elephant,tiny_huge,0.008571428571428572,3.0,0.00857143,3,natural,relative_open_size,bierwisch_kennedy_size_v2_natural,350,1,comparison_class_explicit,3 centimeters,gradable_scalar,centimeters,3
tiny,"The normal body length for a domestic cat is 46 centimeters. Compared only to that 46-centimeter baseline for a domestic cat, a body length of 8 centimeters feels",huge,"The normal body length for an ant is 1 centimeters. Compared only to that 1-centimeter baseline for an ant, a body length of 8 centimeters feels",a domestic cat,an ant,natural_world_anchor,standard_explicit,size_v2_behavioral_lockin_same_value_different_standard,size,False,False,-1.749199854809259,2.0794415416798357,True,size-v2-natural-p0008-a_domestic_cat-vs-an_ant,size-v2-natural-p0008-an_ant-vs-a_domestic_cat,tiny_huge,0.17391304347826086,8.0,0.173913,8,natural,relative_open_size,bierwisch_kennedy_size_v2_natural,46,1,comparison_class_explicit,8 centimeters,gradable_scalar,centimeters,8
huge,"The normal body length for an ant is 1 centimeters. Compared only to that 1-centimeter baseline for an ant, a body length of 8 centimeters feels",tiny,"The normal body length for a labrador dog is 60 centimeters. Compared only to that 60-centimeter baseline for a labrador dog, a body length of 8 centimeters feels",an ant,a labrador dog,natural_world_anchor,standard_explicit,size_v2_behavioral_lockin_same_value_different_standard,size,False,False,2.0794415416798357,-2.0149030205422647,False,size-v2-natural-p0008-an_ant-vs-a_labrador_dog,size-v2-natural-p0008-an_ant-vs-a_labrador_dog,tiny_huge,8.0,0.13333333333333333,8,0.133333,natural,relative_open_size,bierwisch_kennedy_size_v2_natural,1,60,comparison_class_explicit,8 centimeters,gradable_scalar,centimeters,8
huge,"The normal body length for an ant is 1 centimeters. Compared only to that 1-centimeter baseline for an ant, a body length of 8 centimeters feels",tiny,"The normal body length for an adult human is 170 centimeters. Compared only to that 170-centimeter baseline for an adult human, a body length of 8 centimeters feels",an ant,an adult human,natural_world_anchor,standard_explicit,size_v2_behavioral_lockin_same_value_different_standard,size,False,False,2.0794415416798357,-3.056356895370426,False,size-v2-natural-p0008-an_ant-vs-an_adult_human,size-v2-natural-p0008-an_ant-vs-an_adult_human,tiny_huge,8.0,0.047058823529411764,8,0.0470588,natural,relative_open_size,bierwisch_kennedy_size_v2_natural,1,170,comparison_class_explicit,8 centimeters,gradable_scalar,centimeters,8
tiny,"The normal body length for an african elephant is 350 centimeters. Compared only to that 350-centimeter baseline for an african elephant, a body length of 8 centimeters feels",huge,"The normal body length for an ant is 1 centimeters. Compared only to that 1-centimeter baseline for an ant, a body length of 8 centimeters feels",an african elephant,an ant,natural_world_anchor,standard_explicit,size_v2_behavioral_lockin_same_value_different_standard,size,False,False,-3.7784916128036232,2.0794415416798357,True,size-v2-natural-p0008-an_african_elephant-vs-an_ant,size-v2-natural-p0008-an_ant-vs-an_african_elephant,tiny_huge,0.022857142857142857,8.0,0.0228571,8,natural,relative_open_size,bierwisch_kennedy_size_v2_natural,350,1,comparison_class_explicit,8 centimeters,gradable_scalar,centimeters,8
large,"The normal body length for a house mouse is 9 centimeters. Compared only to that 9-centimeter baseline for a house mouse, a body length of 15 centimeters feels",huge,"The normal body length for an ant is 1 centimeters. Compared only to that 1-centimeter baseline for an ant, a body length of 15 centimeters feels",a house mouse,an ant,natural_world_anchor,standard_explicit,size_v2_behavioral_lockin_same_value_different_standard,size,False,False,0.5108256237659907,2.70805020110221,True,size-v2-natural-p0015-a_house_mouse-vs-an_ant,size-v2-natural-p0015-an_ant-vs-a_house_mouse,tiny_huge,1.6666666666666667,15.0,1.66667,15,natural,relative_open_size,bierwisch_kennedy_size_v2_natural,9,1,comparison_class_explicit,15 centimeters,gradable_scalar,centimeters,15
tiny,"The normal body length for a domestic cat is 46 centimeters. Compared only to that 46-centimeter baseline for a domestic cat, a body length of 15 centimeters feels",huge,"The normal body length for an ant is 1 centimeters. Compared only to that 1-centimeter baseline for an ant, a body length of 15 centimeters feels",a domestic cat,an ant,natural_world_anchor,standard_explicit,size_v2_behavioral_lockin_same_value_different_standard,size,False,False,-1.120591195386885,2.70805020110221,True,size-v2-natural-p0015-a_domestic_cat-vs-an_ant,size-v2-natural-p0015-an_ant-vs-a_domestic_cat,tiny_huge,0.32608695652173914,15.0,0.326087,15,natural,relative_open_size,bierwisch_kennedy_size_v2_natural,46,1,comparison_class_explicit,15 centimeters,gradable_scalar,centimeters,15
tiny,"The normal body length for a labrador dog is 60 centimeters. Compared only to that 60-centimeter baseline for a labrador dog, a body length of 15 centimeters feels",huge,"The normal body length for an ant is 1 centimeters. Compared only to that 1-centimeter baseline for an ant, a body length of 15 centimeters feels",a labrador dog,an ant,natural_world_anchor,standard_explicit,size_v2_behavioral_lockin_same_value_different_standard,size,False,False,-1.3862943611198906,2.70805020110221,True,size-v2-natural-p0015-a_labrador_dog-vs-an_ant,size-v2-natural-p0015-an_ant-vs-a_labrador_dog,tiny_huge,0.25,15.0,0.25,15,natural,relative_open_size,bierwisch_kennedy_size_v2_natural,60,1,comparison_class_explicit,15 centimeters,gradable_scalar,centimeters,15
huge,"The normal body length for an ant is 1 centimeters. Compared only to that 1-centimeter baseline for an ant, a body length of 15 centimeters feels",tiny,"The normal body length for an adult human is 170 centimeters. Compared only to that 170-centimeter baseline for an adult human, a body length of 15 centimeters feels",an ant,an adult human,natural_world_anchor,standard_explicit,size_v2_behavioral_lockin_same_value_different_standard,size,False,False,2.70805020110221,-2.4277482359480516,False,size-v2-natural-p0015-an_ant-vs-an_adult_human,size-v2-natural-p0015-an_ant-vs-an_adult_human,tiny_huge,15.0,0.08823529411764706,15,0.0882353,natural,relative_open_size,bierwisch_kennedy_size_v2_natural,1,170,comparison_class_explicit,15 centimeters,gradable_scalar,centimeters,15
tiny,"The normal body length for an african elephant is 350 centimeters. Compared only to that 350-centimeter baseline for an african elephant, a body length of 15 centimeters feels",huge,"The normal body length for an ant is 1 centimeters. Compared only to that 1-centimeter baseline for an ant, a body length of 15 centimeters feels",an african elephant,an ant,natural_world_anchor,standard_explicit,size_v2_behavioral_lockin_same_value_different_standard,size,False,False,-3.1498829533812494,2.70805020110221,True,size-v2-natural-p0015-an_african_elephant-vs-an_ant,size-v2-natural-p0015-an_ant-vs-an_african_elephant,tiny_huge,0.04285714285714286,15.0,0.0428571,15,natural,relative_open_size,bierwisch_kennedy_size_v2_natural,350,1,comparison_class_explicit,15 centimeters,gradable_scalar,centimeters,15
large,"The normal body length for a house mouse is 9 centimeters. Compared only to that 9-centimeter baseline for a house mouse, a body length of 15 centimeters feels",tiny,"The normal body length for a domestic cat is 46 centimeters. Compared only to that 46-centimeter baseline for a domestic cat, a body length of 15 centimeters feels",a house mouse,a domestic cat,natural_world_anchor,standard_explicit,size_v2_behavioral_lockin_same_value_different_standard,size,False,False,0.5108256237659907,-1.120591195386885,False,size-v2-natural-p0015-a_house_mouse-vs-a_domestic_cat,size-v2-natural-p0015-a_house_mouse-vs-a_domestic_cat,tiny_huge,1.6666666666666667,0.32608695652173914,1.66667,0.326087,natural,relative_open_size,bierwisch_kennedy_size_v2_natural,9,46,comparison_class_explicit,15 centimeters,gradable_scalar,centimeters,15
tiny,"The normal body length for a labrador dog is 60 centimeters. Compared only to that 60-centimeter baseline for a labrador dog, a body length of 15 centimeters feels",large,"The normal body length for a house mouse is 9 centimeters. Compared only to that 9-centimeter baseline for a house mouse, a body length of 15 centimeters feels",a labrador dog,a house mouse,natural_world_anchor,standard_explicit,size_v2_behavioral_lockin_same_value_different_standard,size,False,False,-1.3862943611198906,0.5108256237659907,True,size-v2-natural-p0015-a_labrador_dog-vs-a_house_mouse,size-v2-natural-p0015-a_house_mouse-vs-a_labrador_dog,tiny_huge,0.25,1.6666666666666667,0.25,1.66667,natural,relative_open_size,bierwisch_kennedy_size_v2_natural,60,9,comparison_class_explicit,15 centimeters,gradable_scalar,centimeters,15
large,"The normal body length for a house mouse is 9 centimeters. Compared only to that 9-centimeter baseline for a house mouse, a body length of 15 centimeters feels",tiny,"The normal body length for an adult human is 170 centimeters. Compared only to that 170-centimeter baseline for an adult human, a body length of 15 centimeters feels",a house mouse,an adult human,natural_world_anchor,standard_explicit,size_v2_behavioral_lockin_same_value_different_standard,size,False,False,0.5108256237659907,-2.4277482359480516,False,size-v2-natural-p0015-a_house_mouse-vs-an_adult_human,size-v2-natural-p0015-a_house_mouse-vs-an_adult_human,tiny_huge,1.6666666666666667,0.08823529411764706,1.66667,0.0882353,natural,relative_open_size,bierwisch_kennedy_size_v2_natural,9,170,comparison_class_explicit,15 centimeters,gradable_scalar,centimeters,15
large,"The normal body length for a house mouse is 9 centimeters. Compared only to that 9-centimeter baseline for a house mouse, a body length of 15 centimeters feels",tiny,"The normal body length for an african elephant is 350 centimeters. Compared only to that 350-centimeter baseline for an african elephant, a body length of 15 centimeters feels",a house mouse,an african elephant,natural_world_anchor,standard_explicit,size_v2_behavioral_lockin_same_value_different_standard,size,False,False,0.5108256237659907,-3.1498829533812494,False,size-v2-natural-p0015-a_house_mouse-vs-an_african_elephant,size-v2-natural-p0015-a_house_mouse-vs-an_african_elephant,tiny_huge,1.6666666666666667,0.04285714285714286,1.66667,0.0428571,natural,relative_open_size,bierwisch_kennedy_size_v2_natural,9,350,comparison_class_explicit,15 centimeters,gradable_scalar,centimeters,15
small,"The normal body length for a domestic cat is 46 centimeters. Compared only to that 46-centimeter baseline for a domestic cat, a body length of 25 centimeters feels",huge,"The normal body length for an ant is 1 centimeters. Compared only to that 1-centimeter baseline for an ant, a body length of 25 centimeters feels",a domestic cat,an ant,natural_world_anchor,standard_explicit,size_v2_behavioral_lockin_same_value_different_standard,size,False,False,-0.6097655716208943,3.2188758248682006,True,size-v2-natural-p0025-a_domestic_cat-vs-an_ant,size-v2-natural-p0025-an_ant-vs-a_domestic_cat,tiny_huge,0.5434782608695652,25.0,0.543478,25,natural,relative_open_size,bierwisch_kennedy_size_v2_natural,46,1,comparison_class_explicit,25 centimeters,gradable_scalar,centimeters,25
tiny,"The normal body length for a labrador dog is 60 centimeters. Compared only to that 60-centimeter baseline for a labrador dog, a body length of 25 centimeters feels",huge,"The normal body length for an ant is 1 centimeters. Compared only to that 1-centimeter baseline for an ant, a body length of 25 centimeters feels",a labrador dog,an ant,natural_world_anchor,standard_explicit,size_v2_behavioral_lockin_same_value_different_standard,size,False,False,-0.8754687373538999,3.2188758248682006,True,size-v2-natural-p0025-a_labrador_dog-vs-an_ant,size-v2-natural-p0025-an_ant-vs-a_labrador_dog,tiny_huge,0.4166666666666667,25.0,0.416667,25,natural,relative_open_size,bierwisch_kennedy_size_v2_natural,60,1,comparison_class_explicit,25 centimeters,gradable_scalar,centimeters,25
huge,"The normal body length for an ant is 1 centimeters. Compared only to that 1-centimeter baseline for an ant, a body length of 25 centimeters feels",tiny,"The normal body length for an adult human is 170 centimeters. Compared only to that 170-centimeter baseline for an adult human, a body length of 25 centimeters feels",an ant,an adult human,natural_world_anchor,standard_explicit,size_v2_behavioral_lockin_same_value_different_standard,size,False,False,3.2188758248682006,-1.916922612182061,False,size-v2-natural-p0025-an_ant-vs-an_adult_human,size-v2-natural-p0025-an_ant-vs-an_adult_human,tiny_huge,25.0,0.14705882352941177,25,0.147059,natural,relative_open_size,bierwisch_kennedy_size_v2_natural,1,170,comparison_class_explicit,25 centimeters,gradable_scalar,centimeters,25
huge,"The normal body length for an ant is 1 centimeters. Compared only to that 1-centimeter baseline for an ant, a body length of 25 centimeters feels",tiny,"The normal body length for an african elephant is 350 centimeters. Compared only to that 350-centimeter baseline for an african elephant, a body length of 25 centimeters feels",an ant,an african elephant,natural_world_anchor,standard_explicit,size_v2_behavioral_lockin_same_value_different_standard,size,False,False,3.2188758248682006,-2.639057329615259,False,size-v2-natural-p0025-an_ant-vs-an_african_elephant,size-v2-natural-p0025-an_ant-vs-an_african_elephant,tiny_huge,25.0,0.07142857142857142,25,0.0714286,natural,relative_open_size,bierwisch_kennedy_size_v2_natural,1,350,comparison_class_explicit,25 centimeters,gradable_scalar,centimeters,25
small,"The normal body length for a domestic cat is 46 centimeters. Compared only to that 46-centimeter baseline for a domestic cat, a body length of 25 centimeters feels",huge,"The normal body length for a house mouse is 9 centimeters. Compared only to that 9-centimeter baseline for a house mouse, a body length of 25 centimeters feels",a domestic cat,a house mouse,natural_world_anchor,standard_explicit,size_v2_behavioral_lockin_same_value_different_standard,size,False,False,-0.6097655716208943,1.0216512475319812,True,size-v2-natural-p0025-a_domestic_cat-vs-a_house_mouse,size-v2-natural-p0025-a_house_mouse-vs-a_domestic_cat,tiny_huge,0.5434782608695652,2.7777777777777777,0.543478,2.77778,natural,relative_open_size,bierwisch_kennedy_size_v2_natural,46,9,comparison_class_explicit,25 centimeters,gradable_scalar,centimeters,25
tiny,"The normal body length for a labrador dog is 60 centimeters. Compared only to that 60-centimeter baseline for a labrador dog, a body length of 25 centimeters feels",huge,"The normal body length for a house mouse is 9 centimeters. Compared only to that 9-centimeter baseline for a house mouse, a body length of 25 centimeters feels",a labrador dog,a house mouse,natural_world_anchor,standard_explicit,size_v2_behavioral_lockin_same_value_different_standard,size,False,False,-0.8754687373538999,1.0216512475319812,True,size-v2-natural-p0025-a_labrador_dog-vs-a_house_mouse,size-v2-natural-p0025-a_house_mouse-vs-a_labrador_dog,tiny_huge,0.4166666666666667,2.7777777777777777,0.416667,2.77778,natural,relative_open_size,bierwisch_kennedy_size_v2_natural,60,9,comparison_class_explicit,25 centimeters,gradable_scalar,centimeters,25
tiny,"The normal body length for an adult human is 170 centimeters. Compared only to that 170-centimeter baseline for an adult human, a body length of 25 centimeters feels",huge,"The normal body length for a house mouse is 9 centimeters. Compared only to that 9-centimeter baseline for a house mouse, a body length of 25 centimeters feels",an adult human,a house mouse,natural_world_anchor,standard_explicit,size_v2_behavioral_lockin_same_value_different_standard,size,False,False,-1.916922612182061,1.0216512475319812,True,size-v2-natural-p0025-an_adult_human-vs-a_house_mouse,size-v2-natural-p0025-a_house_mouse-vs-an_adult_human,tiny_huge,0.14705882352941177,2.7777777777777777,0.147059,2.77778,natural,relative_open_size,bierwisch_kennedy_size_v2_natural,170,9,comparison_class_explicit,25 centimeters,gradable_scalar,centimeters,25
huge,"The normal body length for a house mouse is 9 centimeters. Compared only to that 9-centimeter baseline for a house mouse, a body length of 25 centimeters feels",tiny,"The normal body length for an african elephant is 350 centimeters. Compared only to that 350-centimeter baseline for an african elephant, a body length of 25 centimeters feels",a house mouse,an african elephant,natural_world_anchor,standard_explicit,size_v2_behavioral_lockin_same_value_different_standard,size,False,False,1.0216512475319812,-2.639057329615259,False,size-v2-natural-p0025-a_house_mouse-vs-an_african_elephant,size-v2-natural-p0025-a_house_mouse-vs-an_african_elephant,tiny_huge,2.7777777777777777,0.07142857142857142,2.77778,0.0714286,natural,relative_open_size,bierwisch_kennedy_size_v2_natural,9,350,comparison_class_explicit,25 centimeters,gradable_scalar,centimeters,25
tiny,"The normal body length for a labrador dog is 60 centimeters. Compared only to that 60-centimeter baseline for a labrador dog, a body length of 25 centimeters feels",small,"The normal body length for a domestic cat is 46 centimeters. Compared only to that 46-centimeter baseline for a domestic cat, a body length of 25 centimeters feels",a labrador dog,a domestic cat,natural_world_anchor,standard_explicit,size_v2_behavioral_lockin_same_value_different_standard,size,False,False,-0.8754687373538999,-0.6097655716208943,True,size-v2-natural-p0025-a_labrador_dog-vs-a_domestic_cat,size-v2-natural-p0025-a_domestic_cat-vs-a_labrador_dog,tiny_huge,0.4166666666666667,0.5434782608695652,0.416667,0.543478,natural,relative_open_size,bierwisch_kennedy_size_v2_natural,60,46,comparison_class_explicit,25 centimeters,gradable_scalar,centimeters,25
small,"The normal body length for a domestic cat is 46 centimeters. Compared only to that 46-centimeter baseline for a domestic cat, a body length of 25 centimeters feels",tiny,"The normal body length for an adult human is 170 centimeters. Compared only to that 170-centimeter baseline for an adult human, a body length of 25 centimeters feels",a domestic cat,an adult human,natural_world_anchor,standard_explicit,size_v2_behavioral_lockin_same_value_different_standard,size,False,False,-0.6097655716208943,-1.916922612182061,False,size-v2-natural-p0025-a_domestic_cat-vs-an_adult_human,size-v2-natural-p0025-a_domestic_cat-vs-an_adult_human,tiny_huge,0.5434782608695652,0.14705882352941177,0.543478,0.147059,natural,relative_open_size,bierwisch_kennedy_size_v2_natural,46,170,comparison_class_explicit,25 centimeters,gradable_scalar,centimeters,25
